id	name	market	sell	buy
1	Arsenal	EPL	73.1	80.8
2	Man City	EPL	18.3	20.2
3	Liverpool	EPL	0.1	0.2
4	Chelsea	EPL	0.1	0.2
5	Man Utd	EPL	0.1	0.2
6	Tottenham	EPL	0.1	0.2
7	Sunderland	EPL	0.1	0.2
8	Bournemouth	EPL	0.1	0.2
9	Crystal Palace	EPL	0.1	0.2
10	Newcastle	EPL	0.1	0.2
11	Brighton	EPL	0.1	0.2
12	Aston Villa	EPL	3.2	3.5
13	Nottm Forest	EPL	0.1	0.2
14	Everton	EPL	0.1	0.2
15	West Ham	EPL	0.1	0.2
16	Fulham	EPL	0.1	0.2
17	Wolves	EPL	0.1	0.2
18	Brentford	EPL	0.1	0.2
19	Leeds	EPL	0.1	0.2
20	Burnley	EPL	0.1	0.2
101	Arsenal	UCL	21.1	23.3
102	Bayern Munich	UCL	17.3	19.1
103	PSG	UCL	11.9	13.1
104	Liverpool	UCL	8.6	9.5
105	Man City	UCL	13.6	15
106	Barcelona	UCL	9.5	10.5
107	Real Madrid	UCL	8.6	9.5
108	Chelsea	UCL	5	5.5
109	Inter Milan	UCL	3.3	3.6
110	Newcastle	UCL	1.9	2.1
111	Atletico Madrid	UCL	2.8	3.1
112	Tottenham	UCL	1.9	2.1
113	Borussia Dortmund	UCL	1.4	1.6
114	Napoli	UCL	1.9	2.1
115	Galatasaray	UCL	0.1	0.2
116	Atalanta	UCL	1.2	1.3
117	Juventus	UCL	0.1	0.2
118	Sporting Lisbon	UCL	0.1	0.2
119	Bayer Leverkusen	UCL	0.1	0.2
120	PSV	UCL	0.1	0.2
121	Marseille	UCL	0.1	0.2
122	Monaco	UCL	0.1	0.2
123	Athletic Bilbao	UCL	0.1	0.2
124	Villarreal	UCL	0.1	0.2
125	Eintracht Frankfurt	UCL	0.1	0.2
126	Benfica	UCL	0.1	0.2
127	Olympiakos	UCL	0.1	0.2
128	Club Brugge	UCL	0.1	0.2
129	Union St Gilloise	UCL	0.1	0.2
130	FK Qarabag	UCL	0.1	0.2
131	Bodo Glimt	UCL	0.1	0.2
132	Ajax	UCL	0.1	0.2
133	Slavia Prague	UCL	0.1	0.2
134	FC Copenhagen	UCL	0.1	0.2
135	AEP Paphos	UCL	0.1	0.2
136	Kairat Almaty	UCL	0.1	0.2
201	Spain	WC	17.3	19.1
202	England	WC	14.6	16.2
203	France	WC	10.6	11.7
204	Brazil	WC	10.6	11.7
205	Argentina	WC	10.6	11.7
206	Portugal	WC	7.9	8.8
207	Germany	WC	7.3	8.1
208	Netherlands	WC	4.5	5
209	Norway	WC	3.7	4
210	Italy	WC	2.8	3.1
211	Belgium	WC	2.8	3.1
212	Uruguay	WC	1.4	1.6
213	Colombia	WC	1.9	2.1
214	Mexico	WC	1.4	1.6
215	USA	WC	1.2	1.3
216	Japan	WC	0.1	0.2
217	Croatia	WC	0.1	0.2
218	Ecuador	WC	1.2	1.3
219	Morocco	WC	1.2	1.3
220	Switzerland	WC	0.1	0.2
221	Austria	WC	0.1	0.2
222	Senegal	WC	0.1	0.2
223	Denmark	WC	0.1	0.2
224	Sweden	WC	0.1	0.2
225	Ivory Coast	WC	0.1	0.2
226	Poland	WC	0.1	0.2
227	Turkey	WC	0.1	0.2
228	Canada	WC	0.1	0.2
229	Egypt	WC	0.1	0.2
230	Paraguay	WC	0.1	0.2
231	Ukraine	WC	0.1	0.2
232	Algeria	WC	0.1	0.2
233	South Korea	WC	0.1	0.2
234	Romania	WC	0.1	0.2
235	Australia	WC	0.1	0.2
